Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price,Negotiable
GMC,Yukon,2007,Saudi,Another Color,Standard,4.7,Gas,Automatic,418000,Riyadh,0,True
Toyota,Hilux,2018,Saudi,White,Full,2.7,Gas,Manual,71000,Al-Medina,62000,False
Hyundai,Sonata,2019,Saudi,Silver,Semi Full,2.4,Gas,Automatic,53000,Dammam,79000,False
Kia,Cerato,2015,Saudi,White,Standard,1.6,Gas,Automatic,170000,Riyadh,27000,False
Hyundai,Accent,2018,Saudi,White,Standard,1.4,Gas,Automatic,79000,Dammam,33000,False
Mercedes,E,2016,Other,Black,Standard,2.0,Gas,Automatic,110440,Riyadh,98000,False
Toyota,Avalon,2014,Saudi,White,Semi Full,3.5,Gas,Automatic,340000,Tabouk,43000,False
Hyundai,Sonata,2013,Saudi,White,Full,2.6,Gas,Automatic,280,Riyadh,25000,False
Changan,Seven,2021,Saudi,White,Standard,1.5,Gas,Automatic,9500,Riyadh,0,True
Hyundai,Tucson,2019,Saudi,Grey,Semi Full,2.0,Gas,Automatic,101000,Riyadh,1300,False
GMC,Terrain,2012,Other,Brown,Semi Full,1.1,Gas,Automatic,214000,Riyadh,0,True
Dodge,Charger,2016,Other,Another Color,Full,5.7,Gas,Automatic,100000,Dammam,109000,False
Nissan,Sentra,2017,Saudi,White,Standard,1.6,Gas,Automatic,50700,Riyadh,37000,False
Volkswagen,Touareg,2006,Other,Another Color,Semi Full,4.0,Gas,Automatic,290000,Jeddah,12000,False
Chevrolet,Silverado,2018,Saudi,Silver,Standard,4.3,Gas,Automatic,70000,Abha,77000,False
Mercedes,C,2016,Other,White,Semi Full,2.0,Gas,Automatic,76000,Riyadh,102000,False
Nissan,Altima,2017,Saudi,White,Semi Full,3.0,Gas,Automatic,85000,Riyadh,58000,False
Ford,Taurus,2015,Saudi,Black,Full,3.0,Gas,Automatic,197000,Riyadh,58000,False
Nissan,Navara,2015,Saudi,White,Semi Full,2.0,Gas,Manual,45000,Riyadh,50000,False
Kia,Optima,2015,Saudi,Navy,Semi Full,2.0,Gas,Automatic,191,Riyadh,38500,False
Kia,Optima,2015,Saudi,Navy,Semi Full,2.0,Gas,Automatic,190000,Riyadh,38000,False
Nissan,Juke,2014,Saudi,Navy,Semi Full,2.0,Gas,Automatic,68000,Riyadh,35000,False
Suzuki,Grand Vitara,2013,Saudi,White,Semi Full,2.0,Gas,Manual,16000,Riyadh,35000,False
Hyundai,Accent,2018,Saudi,White,Standard,1.4,Gas,Automatic,51000,Riyadh,34000,False
Nissan,Maxima,2012,Gulf Arabic,White,Full,3.5,Gas,Automatic,304000,Riyadh,0,True
Toyota,Prado,2016,Saudi,Grey,Semi Full,4.0,Gas,Automatic,67000,Riyadh,90000,False
Toyota,FJ,2020,Saudi,White,Standard,4.0,Gas,Automatic,68500,Riyadh,117000,False
Foton,Mini Van,2017,Gulf Arabic,White,Standard,2.7,Gas,Manual,145000,Riyadh,39500,False
Changan,V7,2018,Saudi,Silver,Standard,1.6,Gas,Automatic,169000,Riyadh,0,True
Nissan,Armada,2008,Saudi,White,Semi Full,4.0,Gas,Automatic,240000,Al-Ahsa,0,True
Toyota,Avalon,2013,Saudi,Black,Full,3.5,Gas,Automatic,136000,Riyadh,0,True
Ford,Fusion,2015,Saudi,Grey,Semi Full,2.5,Gas,Automatic,85000,Riyadh,35000,False
Kia,Carnival,2017,Saudi,Brown,Full,3.3,Gas,Automatic,82217,Dammam,0,True
Hyundai,H1,2018,Other,Brown,Semi Full,7.0,Gas,Automatic,40000,Qassim,63000,False
Kia,Optima,2018,Saudi,Silver,Semi Full,2.4,Gas,Automatic,131000,Riyadh,59000,False
Toyota,Corolla,2013,Saudi,Silver,Standard,1.6,Gas,Automatic,186000,Al-Medina,27000,False
Ford,Van,2013,Saudi,White,Semi Full,6.8,Gas,Automatic,40000,Abha,40000,False
Chevrolet,Blazer,2007,Saudi,Black,Semi Full,6.0,Gas,Automatic,400,Jazan,8000,False
Nissan,Land Cruiser Pickup,1999,Saudi,White,Standard,4.5,Gas,Manual,180000,Riyadh,28000,False
Hyundai,Azera,2015,Saudi,Silver,Full,3.5,Gas,Automatic,215515,Riyadh,42000,False
Mercedes,G,2019,Other,Black,Full,4.0,Gas,Automatic,39000,Riyadh,800000,False
Toyota,Land Cruiser,2013,Saudi,Bronze,Standard,4.6,Gas,Manual,350000,Dammam,86000,False
Kia,Cerato,2015,Gulf Arabic,Silver,Standard,1.6,Gas,Automatic,141000,Dammam,25000,False
Nissan,Sentra,2014,Saudi,Silver,Standard,1.6,Gas,Automatic,19000,Riyadh,0,True
Kia,Seltos,2021,Saudi,Red,Semi Full,1.6,Gas,Automatic,10000,Riyadh,75000,False
Toyota,Innova,2014,Saudi,White,Semi Full,2.7,Gas,Automatic,556809,Riyadh,0,True
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,66000,Al-Medina,29000,False
Toyota,Corolla,2020,Saudi,Another Color,Semi Full,1.6,Gas,Automatic,39000,Jeddah,69000,False
Mercedes,G,2014,Saudi,White,Full,5.5,Gas,Automatic,125000,Riyadh,245000,False
GMC,Yukon,2015,Saudi,Bronze,Standard,5.2,Gas,Automatic,131000,Riyadh,0,True
GMC,Yukon,2017,Saudi,Golden,Semi Full,5.3,Gas,Automatic,30000,Aseer,158000,False
Chevrolet,Tahoe,2013,Saudi,Another Color,Semi Full,5.3,Gas,Automatic,172000,Jeddah,60000,False
Kia,Cadenza,2017,Saudi,Silver,Standard,3.0,Gas,Automatic,93000,Riyadh,57000,False
Ford,Taurus,2015,Saudi,Black,Standard,3.5,Gas,Automatic,140000,Dammam,64000,False
Toyota,Previa,2015,Gulf Arabic,White,Full,2.4,Gas,Automatic,156000,Riyadh,56500,False
Chrysler,C300,2017,Saudi,Black,Standard,3.6,Gas,Automatic,133000,Riyadh,70000,False
Toyota,Hilux,2020,Gulf Arabic,White,Full,2.7,Gas,Manual,15000,Riyadh,105500,False
GMC,Sierra,2018,Saudi,Navy,Standard,5.3,Gas,Automatic,126000,Riyadh,111000,False
Lexus,RX,2016,Gulf Arabic,Brown,Full,3.5,Gas,Automatic,176700,Riyadh,130000,False
Toyota,Hilux,2020,Gulf Arabic,White,Semi Full,2.7,Gas,Manual,49000,Riyadh,103000,False
Kia,Sportage,2020,Saudi,Navy,Full,1.6,Gas,Automatic,7688,Riyadh,67000,False
Toyota,Innova,2016,Saudi,White,Full,2.7,Gas,Automatic,84000,Riyadh,69000,False
Honda,Odyssey,2015,Gulf Arabic,Brown,Full,2.7,Gas,Automatic,123000,Riyadh,59000,False
Lexus,LS,2014,Saudi,White,Full,4.6,Gas,Automatic,202000,Riyadh,133000,False
